CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,Average_purchase_amt,Cash_advance_per_trx,Payment_to_Crlimit,Utilization,Oneoff_ratio,Installment_ratio,cluster_label
C10002,3202.467416,0.909091,0.0,0.0,0.0,6442.945483,0.0,0.0,0.0,0.25,4,0,7000.0,4103.032597,1072.340217,0.222222,12,0.0,1610.73637075,0.5861475138571429,0.4574953451428571,0.0,0.0,3
C10015,2772.772734,1.0,0.0,0.0,0.0,346.81139,0.0,0.0,0.0,0.083333,1,0,3000.0,805.647974,989.962866,0.0,12,0.0,346.81139,0.26854932466666664,0.9242575780000001,0.0,0.0,3
C10016,6886.213231,1.0,1611.7,0.0,1611.7,2301.491267,0.5,0.0,0.5,0.166667,4,11,8000.0,1993.439277,2109.90649,0.0,12,146.51818181818183,575.37281675,0.249179909625,0.860776653875,0.0,1.0,3
C10017,2072.074354,0.875,0.0,0.0,0.0,2784.274703,0.0,0.0,0.0,0.25,3,0,3000.0,391.974562,376.579631,0.0,8,0.0,928.0915676666667,0.13065818733333334,0.6906914513333333,0.0,0.0,3
C10025,5368.571219,1.0,0.0,0.0,0.0,798.949863,0.0,0.0,0.0,0.363636,4,0,6000.0,1422.726707,1657.002877,0.0,11,0.0,199.73746575,0.23712111783333334,0.8947618698333334,0.0,0.0,3
C10029,7152.864372,1.0,387.05,204.55,182.5,2236.145259,0.666667,0.166667,0.416667,0.833333,16,8,10500.0,1601.448347,1648.851345,0.0,12,48.38125,139.7590786875,0.15251889019047618,0.6812251782857143,0.5284846919002713,0.4715153080997287,3
C10033,6732.823064,1.0,324.95,324.95,0.0,1189.533753,0.083333,0.083333,0.0,0.166667,3,3,10500.0,1720.118876,2506.745366,0.0,12,108.31666666666666,396.51125099999996,0.16382084533333333,0.6412212441904762,1.0,0.0,3
C10036,1656.350781,1.0,0.0,0.0,0.0,99.264367,0.0,0.0,0.0,0.083333,1,0,1800.0,351.500199,634.569311,0.0,12,0.0,99.264367,0.19527788833333334,0.9201948783333334,0.0,0.0,3
C10037,7427.076941,1.0,0.0,0.0,0.0,8873.375046,0.0,0.0,0.0,0.727273,11,0,9000.0,1636.361601,1986.843608,0.0,11,0.0,806.6704587272726,0.18181795566666667,0.8252307712222222,0.0,0.0,3
C10039,6269.418144,1.0,204.0,204.0,0.0,2925.699862,0.083333,0.083333,0.0,0.333333,12,2,9000.0,1237.111661,2049.408839,0.0,12,102.0,243.80832183333334,0.1374568512222222,0.696602016,1.0,0.0,3
C10040,1411.60223,0.454545,963.24,963.24,0.0,6173.682877,0.083333,0.083333,0.0,0.333333,6,6,7500.0,20071.07544,719.948985,0.333333,12,160.54,1028.9471461666667,2.676143392,0.18821363066666666,1.0,0.0,3
C10041,663.44781,0.727273,0.0,0.0,0.0,3133.063934,0.0,0.0,0.0,0.25,3,0,1800.0,3067.05783,283.333445,0.166667,12,0.0,1044.3546446666667,1.7039210166666667,0.3685821166666667,0.0,0.0,3
C10045,1360.742377,1.0,0.0,0.0,0.0,1481.587093,0.0,0.0,0.0,0.083333,1,0,1500.0,378.294227,321.354137,0.0,12,0.0,1481.587093,0.25219615133333334,0.9071615846666667,0.0,0.0,3
C10049,3910.111237,1.0,0.0,0.0,0.0,1980.873201,0.0,0.0,0.0,0.5,7,0,4200.0,0.0,1801.1911768727944,0.0,12,0.0,282.98188585714286,0.0,0.930978865952381,0.0,0.0,3
C10052,4931.331857,1.0,901.42,646.07,255.35,8530.648614,0.625,0.375,0.25,0.875,37,9,12000.0,8113.297346,1012.415961,0.0,8,100.15777777777777,230.55807064864865,0.6761081121666667,0.4109443214166667,0.7167247232144839,0.2832752767855162,3
C10054,1565.681099,1.0,0.0,0.0,0.0,321.359135,0.0,0.0,0.0,0.25,3,0,3500.0,691.825279,581.481917,0.0,12,0.0,107.11971166666666,0.19766436542857144,0.4473374568571428,0.0,0.0,3
C10058,3625.218146,1.0,313.27,313.27,0.0,668.468743,0.25,0.25,0.0,0.416667,5,4,4000.0,0.0,1669.9552884905177,0.0,12,78.3175,133.6937486,0.0,0.9063045365000001,1.0,0.0,3
C10060,3971.138765,1.0,0.0,0.0,0.0,224.575517,0.0,0.0,0.0,0.181818,3,0,4000.0,764.938728,1600.212243,0.0,11,0.0,74.85850566666666,0.191234682,0.99278469125,0.0,0.0,3
C10061,5493.90406,1.0,229.0,0.0,229.0,970.591332,0.416667,0.0,0.333333,0.333333,4,6,6000.0,2110.557023,1895.02617,0.0,12,38.166666666666664,242.647833,0.3517595038333333,0.9156506766666667,0.0,1.0,3
C10064,809.582978,0.909091,0.0,0.0,0.0,3819.672466,0.0,0.0,0.0,0.545455,7,0,4150.0,4372.148648,241.645387,0.090909,11,0.0,545.6674951428571,1.0535297946987952,0.19508023566265062,0.0,0.0,3
C10069,809.847455,0.875,0.0,0.0,0.0,908.423608,0.0,0.0,0.0,0.125,1,0,1500.0,146.074769,179.412493,0.0,8,0.0,908.423608,0.09738317933333333,0.5398983033333333,0.0,0.0,3
C10070,1576.305029,1.0,0.0,0.0,0.0,382.908547,0.0,0.0,0.0,0.416667,6,0,2500.0,540.022225,352.883804,0.0,12,0.0,63.81809116666667,0.21600889,0.6305220116,0.0,0.0,3
C10075,656.01301,1.0,0.0,0.0,0.0,1474.349901,0.0,0.0,0.0,0.125,3,0,7000.0,910.457985,140.983193,0.25,8,0.0,491.449967,0.13006542642857144,0.09371614428571429,0.0,0.0,3
C10082,1205.716678,1.0,0.0,0.0,0.0,38.325801,0.0,0.0,0.0,0.083333,1,0,1200.0,29.278671,8242.687678,0.0,12,0.0,38.325801,0.024398892499999998,1.0047638983333333,0.0,0.0,3
C10083,6593.820644,1.0,388.66,388.66,0.0,4621.93458,0.583333,0.583333,0.0,0.416667,7,7,7000.0,1624.583114,2503.40234,0.0,12,55.52285714285715,660.2763685714286,0.232083302,0.9419743777142857,1.0,0.0,3
C10085,81.584711,0.272727,0.0,0.0,0.0,2985.300006,0.0,0.0,0.0,0.166667,5,0,9500.0,116.569033,164.692136,0.0,12,0.0,597.0600012,0.01227042452631579,0.008587864315789473,0.0,0.0,3
C10090,7069.950386,1.0,1603.78,1445.14,158.64,5626.004046,1.0,0.833333,1.0,0.75,23,23,11000.0,4589.873897,1876.262988,0.0,12,69.7295652173913,244.60887156521738,0.4172612633636364,0.6427227623636365,0.901083689782888,0.09891631021711207,3
C10094,6110.265264,1.0,0.0,0.0,0.0,2717.253917,0.0,0.0,0.0,0.416667,14,0,6500.0,1502.205631,2864.380327,0.0,12,0.0,194.0895655,0.23110855861538462,0.9400408098461538,0.0,0.0,3
C10096,1977.00709,1.0,1032.04,226.9,805.14,4335.919227,0.909091,0.090909,0.818182,0.545455,21,17,4000.0,3056.424974,910.707525,0.090909,11,60.70823529411764,206.47234414285717,0.7641062435,0.4942517725,0.21985581954187824,0.7801441804581218,3
C10100,1139.782882,1.0,0.0,0.0,0.0,120.612912,0.0,0.0,0.0,0.083333,1,0,1200.0,151.823651,2906.110765,0.0,12,0.0,120.612912,0.1265197091666667,0.9498190683333333,0.0,0.0,3
