CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,Average_purchase_amt,Cash_advance_per_trx,Payment_to_Crlimit,Utilization,Oneoff_ratio,Installment_ratio,cluster_label
C10003,2495.148862,1.0,773.17,773.17,0.0,0.0,1.0,1.0,0.0,0.0,0,12,7500.0,622.066742,627.284787,0.0,12,64.43083333333333,0.0,0.08294223226666667,0.33268651493333334,1.0,0.0,1
C10004,1666.670542,0.636364,1499.0,1499.0,0.0,205.788017,0.083333,0.083333,0.0,0.083333,1,1,7500.0,0.0,767.7511183307029,0.0,12,1499.0,205.788017,0.0,0.22222273893333333,1.0,0.0,1
C10005,817.714335,1.0,16.0,16.0,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,1200.0,678.334763,244.791237,0.0,12,16.0,0.0,0.5652789691666666,0.6814286125,1.0,0.0,1
C10009,1014.926473,1.0,861.49,661.49,200.0,0.0,0.333333,0.083333,0.25,0.0,0,5,7000.0,688.278568,311.963409,0.0,12,172.298,0.0,0.0983255097142857,0.14498949614285714,0.7678440840868728,0.23215591591312726,1
C10010,152.225975,0.545455,1281.6,1281.6,0.0,0.0,0.166667,0.166667,0.0,0.0,0,3,11000.0,1164.770591,100.302262,0.0,12,427.2,0.0,0.10588823554545454,0.013838725,1.0,0.0,1
C10012,630.794744,0.818182,1492.18,1492.18,0.0,0.0,0.25,0.25,0.0,0.0,0,6,2000.0,705.618627,155.549069,0.0,12,248.6966666666667,0.0,0.3528093135,0.315397372,1.0,0.0,1
C10013,1516.92862,1.0,3217.99,2500.23,717.76,0.0,1.0,0.25,0.916667,0.0,0,26,3000.0,608.263689,490.207013,0.25,12,123.76884615384614,0.0,0.202754563,0.5056428733333334,0.7769539370849506,0.22304606291504947,1
C10027,1615.96724,1.0,102.0,102.0,0.0,244.840485,0.166667,0.166667,0.0,0.25,5,2,1700.0,890.178845,971.183209,0.0,12,51.0,48.968097,0.5236346147058824,0.9505689647058824,1.0,0.0,1
C10034,125.660453,1.0,636.79,636.79,0.0,0.0,0.916667,0.916667,0.0,0.0,0,11,1200.0,423.449696,196.301885,0.3,12,57.88999999999999,0.0,0.3528747466666667,0.10471704416666668,1.0,0.0,1
C10038,4047.480828,1.0,2380.55,1642.17,738.38,1697.660901,0.75,0.5,0.75,0.333333,7,41,5000.0,1617.894416,1541.141605,0.0,12,58.06219512195123,242.52298585714286,0.3235788832,0.8094961656,0.689827980928777,0.310172019071223,1
C10043,784.889762,0.909091,1526.59,786.3,740.29,2188.419607,0.583333,0.416667,0.333333,0.25,11,27,3000.0,1262.309666,363.142736,0.111111,12,56.54037037037037,198.94723699999997,0.4207698886666667,0.2616299206666667,0.5150695340595707,0.4849304659404293,1
C10044,4104.710798,1.0,203.82,203.82,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,4500.0,868.275275,1801.264841,0.0,12,203.82,0.0,0.1929500611111111,0.9121579551111111,1.0,0.0,1
C10051,863.809833,1.0,507.5,507.5,0.0,695.097159,0.166667,0.166667,0.0,0.083333,2,3,4000.0,587.866451,286.448719,0.083333,12,169.16666666666666,347.5485795,0.14696661275,0.21595245825,1.0,0.0,1
C10053,1078.888565,1.0,3107.85,2221.74,886.11,0.0,0.666667,0.583333,0.5,0.0,0,18,2500.0,1399.82834,1322.446601,0.0,12,172.65833333333333,0.0,0.559931336,0.43155542599999996,0.7148800617790433,0.2851199382209566,1
C10055,464.674156,0.888889,1979.22,1979.22,0.0,1981.265503,0.666667,0.666667,0.0,0.111111,1,11,3000.0,3110.052742,132.446091,0.2,9,179.92909090909092,1981.265503,1.0366842473333333,0.15489138533333333,1.0,0.0,1
C10057,1311.995984,1.0,1283.9,1283.9,0.0,0.0,0.25,0.25,0.0,0.0,0,6,6000.0,0.0,604.3704250947221,0.0,12,213.98333333333335,0.0,0.0,0.2186659973333333,1.0,0.0,1
C10062,1879.114033,0.727273,113.0,113.0,0.0,0.0,0.166667,0.166667,0.0,0.0,0,2,6500.0,3509.686561,548.105836,0.0,12,56.5,0.0,0.5399517786153846,0.2890944666153846,1.0,0.0,1
C10063,1555.793701,1.0,66.2,66.2,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,1600.0,338.083661,837.215674,0.0,12,66.2,0.0,0.21130228812500002,0.972371063125,1.0,0.0,1
C10065,7.152356,0.090909,840.0,840.0,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,1600.0,0.0,3.2947299297135553,0.0,12,840.0,0.0,0.0,0.0044702225,1.0,0.0,1
C10068,1758.059987,1.0,412.33,325.21,87.12,0.0,0.583333,0.333333,0.166667,0.0,0,11,1800.0,777.451648,897.905444,0.0,12,37.484545454545454,0.0,0.4319175822222222,0.9766999927777779,0.7887129241141804,0.21128707588581963,1
